"Mach","p","tp","x","Points:0","Points:1","Points:2"
0.16197,0.19468,0.19831,2.3526,15.292,0,0
0.16652,0.19529,0.19911,2.3639,15.365,0,0
0.17311,0.19548,0.19965,2.3751,15.438,0,0
0.1806,0.19548,0.20008,2.3864,15.511,0,0
0.1881,0.19548,0.2005,2.3976,15.584,0,0
0.1956,0.19548,0.20093,2.4088,15.657,0,0
0.20309,0.19548,0.20135,2.4201,15.731,0,0
0.21059,0.19549,0.20178,2.4313,15.804,0,0
0.21809,0.19549,0.2022,2.4426,15.877,0,0
0.22559,0.19549,0.20263,2.4538,15.95,0,0
0.23308,0.19549,0.20305,2.4651,16.023,0,0
0.24224,0.19527,0.20349,2.4763,16.096,0,0
0.25217,0.19494,0.20393,2.4876,16.169,0,0
0.2621,0.19461,0.20437,2.4988,16.242,0,0
0.27203,0.19429,0.20481,2.5101,16.315,0,0
0.28196,0.19396,0.20525,2.5213,16.389,0,0
0.29189,0.19363,0.20569,2.5326,16.462,0,0
0.30182,0.19331,0.20613,2.5438,16.535,0,0
0.31175,0.19298,0.20657,2.555,16.608,0,0
0.32168,0.19265,0.20702,2.5663,16.681,0,0
0.33263,0.1922,0.2076,2.5775,16.754,0,0
0.34425,0.19168,0.20828,2.5888,16.827,0,0
0.35586,0.19115,0.20895,2.6,16.9,0,0
0.36748,0.19062,0.20963,2.6113,16.973,0,0
0.37909,0.1901,0.2103,2.6225,17.046,0,0
0.39071,0.18957,0.21098,2.6338,17.119,0,0
0.40232,0.18905,0.21166,2.645,17.193,0,0
0.41394,0.18852,0.21233,2.6563,17.266,0,0
0.42555,0.18799,0.21301,2.6675,17.339,0,0
0.43777,0.18731,0.21375,2.6788,17.412,0,0
0.45066,0.18644,0.21456,2.69,17.485,0,0
0.46355,0.18558,0.21538,2.7012,17.558,0,0
0.47643,0.18472,0.21619,2.7125,17.631,0,0
0.48932,0.18386,0.217,2.7237,17.704,0,0
0.5022,0.18299,0.21782,2.735,17.777,0,0
0.51509,0.18213,0.21863,2.7462,17.851,0,0
0.52798,0.18127,0.21944,2.7575,17.924,0,0
0.54086,0.1804,0.22026,2.7687,17.997,0,0
0.55396,0.17943,0.22108,2.78,18.07,0,0
0.56759,0.17819,0.22191,2.7912,18.143,0,0
0.58122,0.17694,0.22275,2.8025,18.216,0,0
0.59485,0.1757,0.22358,2.8137,18.289,0,0
0.60848,0.17445,0.22441,2.825,18.362,0,0
0.62211,0.17321,0.22525,2.8362,18.435,0,0
0.63574,0.17196,0.22608,2.8474,18.508,0,0
0.64937,0.17072,0.22692,2.8587,18.581,0,0
0.663,0.16947,0.22775,2.8699,18.655,0,0
0.67664,0.16822,0.22859,2.8812,18.728,0,0
0.69051,0.16668,0.22937,2.8924,18.801,0,0
0.70438,0.16513,0.23016,2.9037,18.874,0,0
0.71825,0.16359,0.23094,2.9149,18.947,0,0
0.73212,0.16205,0.23173,2.9262,19.02,0,0
0.74599,0.16051,0.23251,2.9374,19.093,0,0
0.75986,0.15897,0.2333,2.9487,19.166,0,0
0.77373,0.15743,0.23408,2.9599,19.239,0,0
0.7876,0.15589,0.23487,2.9712,19.312,0,0
0.80147,0.15435,0.23565,2.9824,19.386,0,0
0.81516,0.15273,0.2364,2.9936,19.459,0,0
0.82878,0.15107,0.23713,3.0049,19.532,0,0
0.84239,0.14942,0.23786,3.0161,19.605,0,0
0.85601,0.14776,0.23859,3.0274,19.678,0,0
0.86962,0.14611,0.23933,3.0386,19.751,0,0
0.88324,0.14445,0.24006,3.0499,19.824,0,0
0.89685,0.1428,0.24079,3.0611,19.897,0,0
0.91047,0.14114,0.24152,3.0724,19.97,0,0
0.92408,0.13949,0.24225,3.0836,20.043,0,0
0.9375,0.13785,0.24297,3.0949,20.117,0,0
0.95049,0.13624,0.24365,3.1061,20.19,0,0
0.96348,0.13464,0.24434,3.1174,20.263,0,0
0.97647,0.13303,0.24503,3.1286,20.336,0,0
0.98946,0.13142,0.24571,3.1398,20.409,0,0
1.0025,0.12981,0.2464,3.1511,20.482,0,0
1.0154,0.12821,0.24708,3.1623,20.555,0,0
1.0284,0.1266,0.24777,3.1736,20.628,0,0
1.0414,0.12499,0.24845,3.1848,20.701,0,0
1.0544,0.12338,0.24914,3.1961,20.774,0,0
1.0667,0.12189,0.24979,3.2073,20.848,0,0
1.079,0.12041,0.25042,3.2186,20.921,0,0
1.0912,0.11893,0.25106,3.2298,20.994,0,0
1.1034,0.11746,0.2517,3.2411,21.067,0,0
1.1156,0.11598,0.25234,3.2523,21.14,0,0
1.1278,0.1145,0.25298,3.2636,21.213,0,0
1.1401,0.11303,0.25362,3.2748,21.286,0,0
1.1523,0.11155,0.25426,3.286,21.359,0,0
1.1645,0.11007,0.2549,3.2973,21.432,0,0
1.1764,0.10866,0.25552,3.3085,21.505,0,0
1.1877,0.10737,0.2561,3.3198,21.579,0,0
1.1989,0.10607,0.25669,3.331,21.652,0,0
1.2102,0.10478,0.25727,3.3423,21.725,0,0
1.2214,0.10348,0.25786,3.3535,21.798,0,0
1.2327,0.10219,0.25844,3.3648,21.871,0,0
1.244,0.10089,0.25902,3.376,21.944,0,0
1.2552,0.099597,0.25961,3.3873,22.017,0,0
1.2665,0.098302,0.26019,3.3985,22.09,0,0
1.2777,0.097007,0.26078,3.4098,22.163,0,0
1.288,0.095886,0.26132,3.421,22.236,0,0
1.298,0.094812,0.26186,3.4322,22.31,0,0
1.3081,0.093737,0.26239,3.4435,22.383,0,0
1.3181,0.092663,0.26292,3.4547,22.456,0,0
1.3281,0.091588,0.26346,3.466,22.529,0,0
1.3381,0.090514,0.26399,3.4772,22.602,0,0
1.3482,0.08944,0.26452,3.4885,22.675,0,0
1.3582,0.088365,0.26505,3.4997,22.748,0,0
1.3682,0.087291,0.26559,3.511,22.821,0,0
1.378,0.086253,0.26611,3.5222,22.894,0,0
1.3862,0.085435,0.26657,3.5335,22.968,0,0
1.3944,0.084617,0.26704,3.5447,23.041,0,0
1.4027,0.083799,0.2675,3.556,23.114,0,0
1.4109,0.082981,0.26796,3.5672,23.187,0,0
1.4192,0.082163,0.26843,3.5784,23.26,0,0
1.4274,0.081345,0.26889,3.5897,23.333,0,0
1.4357,0.080526,0.26935,3.6009,23.406,0,0
1.4439,0.079708,0.26982,3.6122,23.479,0,0
1.4521,0.07889,0.27028,3.6234,23.552,0,0
1.4594,0.078224,0.27085,3.6347,23.625,0,0
1.4655,0.077756,0.27156,3.6459,23.698,0,0
1.4715,0.077288,0.27227,3.6572,23.772,0,0
1.4776,0.07682,0.27298,3.6684,23.845,0,0
1.4837,0.076352,0.27369,3.6797,23.918,0,0
1.4897,0.075884,0.2744,3.6909,23.991,0,0
1.4958,0.075416,0.27511,3.7022,24.064,0,0
1.5018,0.074948,0.27582,3.7134,24.137,0,0
